Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
-925,,,,,,,,About 925 BCE,Syrian war against Ahab,1 Ki. 20,,,,,,Events,
-924,,,,,,,,Between 925 and 919 BCE,Murdering Naboth,1 Ki. 21,https://wol.jw.org/en/wol/mp/r1/lp-e/ws15/2015/150,,,,,Events,
-919,,,,,,,,About 919 BCE,Ahaziah succeeds Ahab as sole king,"1 Ki. 22:51, 52",,,,,,Kings of Israel,
-919,,,,,,,,,Jehoshaphat's reforms,2Ch 19:4-11,,,,,,Events,
-917,,,,,,,,About 917 BCE,Jehoram succeeds Ahaziah as sole king,2 Ki. 3:1,,,,,,Kings of Israel,
-916,,,,,,,,In 10th century BCE,Naaman healed by Elisha,2 Ki. 5,https://assetsnffrgf-a.akamaihd.net/assets/m/502013315/univ/art/502013315_univ_lsr_lg.jpg,,,,,Events,
-915,,,,,,,,In 10th century BCE,Syrians mentally blinded,And eyes of Elisha’s attendant opened <br>2 Ki. 6,https://assetsnffrgf-a.akamaihd.net/assets/m/1102016062/univ/art/1102016062_univ_lsr_xl.jpg,,,,,Events,
-913,,,,,,,,,"Jehoram ‘becomes king,’ with Jehoshaphat","2 Ki. 8:16, 17",,,,,,Kings of Judah,
-906,,,,,,,,About 906 BCE,Ahaziah succeeds Jehoram,"2 Ki. 8:25, 26",,,,,,Kings of Judah,
-905,,,,,,,,About 905 BCE,Queen Athaliah usurps throne,2 Ki. 11:1-3,https://assetsnffrgf-a.akamaihd.net/assets/m/1102016063/univ/art/1102016063_univ_cnt_2_xl.jpg,,,,,Kings of Judah,
-905,,,,,,,,About 905 BCE,Jehu succeeds Jehoram,"2 Ki. 9:24, 27; 2Ki 10:36",,,,,,Kings of Israel,
-905,,,,,,,,After 940-before 905 BCE,Elijah finishes prophecying,,https://assetsnffrgf-a.akamaihd.net/assets/m/1102013256/univ/art/1102013256_univ_lsr_xl.jpg,,,,,Prophets,
-898,,,,,,,,,Jehoash succeeds Ahaziah,2 Ki. 12:1,https://assetsnffrgf-a.akamaihd.net/assets/m/1102016063/univ/art/1102016063_univ_lsr_xl.jpg,,,,,Kings of Judah,
-876,,,,,,,,,Jehoahaz succeeds Jehu,2 Ki. 13:1,,,,,,Kings of Israel,
-859,,,,,,,,About 859 BCE,Jehoash succeeds Jehoahaz as sole king,2 Ki. 13:10,,,,,,Kings of Israel,
-858,,,,,,,,,Amaziah succeeds Jehoash,"2 Ki. 14:1, 2",,,,,,Kings of Judah,
-844,,,,,,,,About 844 BCE,Jonah completes the book of Jonah,"Jonah 1:1, 2",https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-844,,,,,,,,About 844 BCE,Jeroboam II succeeds Jehoash,2 Ki. 14:23,,,,,,Kings of Israel,
-844,,,,,,,,Around 844 BCE,Jonah,,https://assetsnffrgf-a.akamaihd.net/assets/m/1102013260/univ/art/1102013260_univ_cnt_4_xl.jpg,,,,,Prophets,
-829,,,,,,,,,Uzziah (Azariah) succeeds Amaziah,"2 Ki. 15:1, 2",,,,,,Kings of Judah,
-820,,,,,,,,About 820 BCE,Book of Joel perhaps written,Joel 1:1,https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-820,,,,,,,,Around 820 BCE,Joel,,https://wol.jw.org/en/wol/mp/r1/lp-e/jd/2006/8,,,,,Prophets,
-804,,,,,,,,About 804 BCE,Amos completes the book of Amos,Amos 1:1,https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-804,,,,,,,,Sometime between 829 and about 804 BCE,Amos,,https://wol.jw.org/en/wol/mp/r1/lp-e/jd/2006/10,,,,,Prophets,
-804,,,,,,,,Before 804-after 745 BCE,Hosea begins prophecying,,https://wol.jw.org/en/wol/mp/r1/lp-e/jd/2006/12,,,,,Prophets,
-792,,,,,,,,About 792 BCE,Zechariah rules (6 months),2 Ki. 15:8,,,,,,Kings of Israel,
-791,,,,,,,,About 791 BCE,Shallum succeeds Zechariah,"2 Ki. 15:13, 17",,,,,,Kings of Israel,
-791,,,,,,,,About 791 BCE,Menahem succeeds Shallum,,,,,,,Kings of Israel,
-780,,,,,,,,About 780 BCE,Pekahiah succeeds Menahem,2 Ki. 15:23,,,,,,Kings of Israel,
-778,,,,,,,,About 778 BCE,Pekah succeeds Pekahiah,2 Ki. 15:27,,,,,,Kings of Israel,
-778,,,,,,,,About 778 BCE,Isaiah begins to prophesy,Isa. 1:1; 6:1,https://assetsnffrgf-a.akamaihd.net/assets/m/502012429/univ/art/502012429_univ_sqr_xl.jpg,,,,,Prophets,
-777,,,,,,,,,Jotham succeeds Uzziah (Azariah),"2 Ki. 15:32, 33",,,,,,Kings of Judah,
-777,,,,,,,,About 777-about 717 BCE,Micah begins prophecying,,https://wol.jw.org/en/wol/mp/r1/lp-e/jd/2006/14,,,,,Prophets,
-761,,,,,,,,About 761 BCE,Ahaz succeeds Jotham,"2 Ki. 16:1, 2",,,,,,Kings of Judah,
-758,,,,,,,,About 758 BCE,Hoshea ‘begins to reign’,2 Ki. 15:30,,,,,,Kings of Israel,
-745,,,,,,,,After 745 BCE,Hosea completes the book of Hosea,Hos. 1:1,https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-745,,,,,,,,,Hezekiah succeeds Ahaz,"2 Ki. 18:1, 2",,,,,,Kings of Judah,
-745,,,,,,,,Before 804-after 745 BCE,Hosea finishes prophecying,,https://wol.jw.org/en/wol/mp/r1/lp-e/jd/2006/12,,,,,Prophets,
-742,,,,,,,,,Assyria begins to lay siege against Samaria,2 Ki. 18:9,,,,,,Events,
-740,,,,,,,,,"Assyria subjugates Israel, takes Samaria","2 Ki. 17:6, 13, 18",,,,,,Events,
-732,,,,,,,,After 732 BCE,Isaiah completes the book of Isaiah,Isa. 1:1,https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-732,,,,,,,,,Sennacherib invades Judah,2 Ki. 18:13,,,,,,Events,
-731,,,,,,,,About 732 BCE,Hezekiah got sick and then healed,2 Ki. 20:1-11,https://assetsnffrgf-a.akamaihd.net/assets/m/202022422/univ/art/202022422_univ_lsr_xl.jpg,,,,,Events,
-717,,,,,,,,Before 717 BCE,Micah completes the book of Micah,Mic. 1:1,https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-717,,,,,,,,About 717 BCE,Compiling of Proverbs completed,Prov. 25:1,https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-717,,,,,,,,About 777-about 717 BCE,Micah finishes prophecying,,https://wol.jw.org/en/wol/mp/r1/lp-e/jd/2006/14,,,,,Prophets,
-717,,,,,,,,After 778-before 717 BCE,Isaiah finishes prophecying,,https://assetsnffrgf-a.akamaihd.net/assets/m/502012429/univ/art/502012429_univ_sqr_xl.jpg,,,,,Prophets,
-716,,,,,,,,,Manasseh succeeds Hezekiah,2 Ki. 21:1,https://assetsnffrgf-a.akamaihd.net/assets/m/502017168/univ/art/502017168_univ_lsr_lg.jpg,,,,,Kings of Judah,
-661,,,,,,,,,Amon succeeds Manasseh,2 Ki. 21:19,,,,,,Kings of Judah,
-659,,,,,,,,,Josiah succeeds Amon,2 Ki. 22:1,https://wol.jw.org/en/wol/mp/r1/lp-e/jr/2010/12,,,,,Kings of Judah,
-648,,,,,,,,Before 648 BCE,Zephaniah completes the book of Zephaniah,Zeph. 1:1,https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-648,,,,,,,,About 648 BCE,Zephaniah,,https://wol.jw.org/en/wol/mp/r1/lp-e/jd/2006/18,,,,,Prophets,
-647,,,,,,,,,Jeremiah commissioned as prophet,"Jer. 1:1, 2, 9, 10",,,,,,Events,
-647,,,,,,,,,Jeremiah begins prophecying,,https://assetsnffrgf-a.akamaihd.net/assets/m/1101978129/univ/art/1101978129_univ_lsr_xl.jpg,,,,,Prophets,
